wnver::eOS9lXC6GvMWznF1wkZofDdtbBU
1740v 161 ROOT
2325v 34
2573v 1
2724v 0
2942v 0
3133v 0
3316v 0
3431v 3
3662v 3
3826v 1
4032v 8
4227v 65
4605v 31
4819v 11
5041v 36
5526v 32
5815v 3
6100v 0
6238v 22
6523v 3
6697v 0
6802v 0
7012v 37
7193v 0
7328v 5
7549v 0
7739v 14
8055v 0
8195v 3
8299v 10
8602v 0
8799v 0
8977v 2
9147v 43
9492v 0
9631v 0
9884v 0
10054v 33
10241v 27
10435v 1259 ROOT
11361v 0
11551v 4
11698v 0
11852v 0
11982v 0
12137v 11
12267v 6
12434v 7
12613v 1
12753v 1
12854v 0
12944v 0
13172v 2
13328v 4
13615v 149
13858v 0
14034v 20
14201v 13
14405v 712
14549v 536 ROOT
14742v 653
15163v 0
15303v 12
15498v 14
15713v 0 ROOT
15806v 5
15946v 1
16183v 0
16380v 5
16573v 4
16702v 0 ROOT
16855v 0
17031v 17
17282v 82 ROOT
17531v 0
17674v 0
17865v 115 ROOT
18158v 22 ROOT
18405v 2
18526v 79
18813v 270
19182v 0
19273v 0
19448v 207
19792v 20
19982v 2
20133v 21 ROOT
20259v 3
20449v 0 ROOT
20671v 0
20926v 0
21065v 6
21554v 0
21679v 0
21826v 0
21997v 0
22099v 156
22316v 0
22686v 41
23244v 0
23380v 0
23473v 0
23646v 93
23868v 93
24047v 8
24279v 27
24649v 18
24814v 6
25034v 0
25203v 93
25510v 0
25654v 10
25985v 0
26153v 0
26385v 18
26734v 0
26941v 0
27064v 0
27268v 93
27570v 0
27705v 100
28010v 0
28167v 2
28362v 7
28565v 63
28876v 0
29025v 9
29214v 0
29336v 2
29518v 1
29630v 1
29742v 0
29836v 1
30010v 0
30142v 1
30366v 0
30463v 11
30647v 18
30853v 0
31068v 0
31181v 1
31277v 8
31418v 0
31540v 0
31663v 6
31820v 685
32297v 2
32414v 0
32539v 9
32778v 7
32981v 13
33203v 11
33406v 11
33599v 6
33852v 5
33955v 0
34115v 4
34288v 81
34634v 0
34758v 3
34948v 0
35089v 1
35259v 0
35448v 6
35603v 174
35758v 405
36178v 30
36362v 89
36685v 0
36780v 0
36932v 0
37138v 0
37298v 13
37514v 5
37680v 0
37779v 0
37919v 34
38199v 0
38365v 7
38687v 0
38849v 19
39121v 0
39267v 0
39385v 0
39488v 1
39680v 0
39824v 0
39950v 0
40084v 0
40188v 0
40353v 458
40766v 0
40928v 4
41206v 0
41417v 0
41554v 3
41687v 0
41866v 0
42017v 0
42173v 1
42364v 0
42479v 0
42641v 0
42792v 0
42936v 0
43078v 4
43278v 0
43480v 5
43683v 3
43912v 0
44037v 0
44149v 43
44797v 49
45064v 0
45145v 0
45240v 2
45346v 0
45532v 0
45639v 15
45817v 2
46022v 0
46151v 2
46382v 0
46534v 263
47032v 0
47172v 0
47317v 0
